,country,stage,excluded_gene,Q,alpha,omega,adaptive_divergence,neutral_divergence,selected_divergence
154,ghana,ookinete,PF3D7_1116800,0.0002325688,0.861001,0.308778,0.016653,0.053932,0.019341
155,ghana,ookinete,PF3D7_1024000,0.0002328688,0.861305,0.309964,0.016384,0.052857,0.019022
156,ghana,ookinete,PF3D7_0512400,0.000232803,0.860073,0.306708,0.016045,0.052313,0.018655
157,ghana,ookinete,PF3D7_0814700,0.0002327591,0.858509,0.302709,0.016038,0.052981,0.018681
158,ghana,ookinete,PF3D7_0507300,0.0002328654,0.849339,0.281377,0.014998,0.053303,0.017659
159,ghana,ookinete,PF3D7_1024100,0.0002330539,0.859204,0.304836,0.015437,0.050642,0.017967
160,ghana,ookinete,PF3D7_1342600,0.0002325258,0.864703,0.318532,0.01675,0.052583,0.01937
161,ghana,ookinete,PF3D7_0417100,0.0002328406,0.85827,0.302222,0.015894,0.052592,0.018519
162,ghana,ookinete,PF3D7_1139100,0.000233095,0.853181,0.290332,0.015512,0.053427,0.018181
163,ghana,ookinete,PF3D7_0518900,0.0002327366,0.858352,0.302289,0.015898,0.052593,0.018522
164,ghana,ookinete,PF3D7_1362100,0.0002327552,0.858363,0.302342,0.015897,0.05258,0.01852
165,ghana,ookinete,PF3D7_1422900,0.0002327862,0.860859,0.308701,0.01619,0.052446,0.018807
166,ghana,ookinete,PF3D7_0507400,0.0002327627,0.860002,0.306475,0.01602,0.052273,0.018628
167,ghana,ookinete,PF3D7_0519800,0.0002327479,0.858481,0.302625,0.015893,0.052517,0.018513
168,ghana,ookinete,PF3D7_1407600,0.0002331783,0.848771,0.280509,0.01415,0.050442,0.016671
169,ghana,ookinete,PF3D7_1231200,0.0002328753,0.859816,0.30615,0.016249,0.053076,0.018899
170,ghana,ookinete,PF3D7_0209500,0.0002327476,0.855628,0.295659,0.015847,0.0536,0.018521
171,ghana,ookinete,PF3D7_1136900,0.0002325819,0.861044,0.308907,0.016093,0.052095,0.01869
172,ghana,ookinete,PF3D7_0818600,0.0002326937,0.85844,0.302453,0.015898,0.052563,0.018519
173,ghana,ookinete,PF3D7_0411400,0.0002329094,0.861713,0.311081,0.015653,0.050319,0.018165
174,ghana,ookinete,PF3D7_0808200,0.0002325894,0.862485,0.312677,0.016364,0.052335,0.018973
175,ghana,ookinete,PF3D7_1332200,0.00023243,0.859025,0.303571,0.015893,0.052354,0.018501
176,ghana,ookinete,PF3D7_1218100,0.0002327898,0.859947,0.30637,0.015885,0.05185,0.018472
177,ghana,ookinete,PF3D7_1026500,0.0002327972,0.857836,0.301089,0.015963,0.053016,0.018608
178,ghana,ookinete,PF3D7_0214600,0.0002329592,0.85863,0.303273,0.015875,0.052344,0.018488
179,ghana,ookinete,PF3D7_1449000,0.000232738,0.858371,0.302337,0.015897,0.052581,0.01852
180,ghana,ookinete,PF3D7_0918700,0.0002327936,0.853079,0.289722,0.015561,0.05371,0.018241
181,ghana,ookinete,PF3D7_0102700,0.0002328466,0.858158,0.30195,0.015847,0.052482,0.018466
182,ghana,ookinete,PF3D7_1329700,0.0002328514,0.854725,0.293643,0.015538,0.052914,0.018179
183,ghana,ookinete,PF3D7_1029700,0.0002327641,0.860577,0.307946,0.016179,0.05254,0.018801
