,country,stage,excluded_gene,Q,alpha,omega,adaptive_divergence,neutral_divergence,selected_divergence
169,ghana,ookinete,PF3D7_1231200,1.58604e-05,0.989825,0.308589,0.018742,0.060734,0.018934
170,ghana,ookinete,PF3D7_0209500,1.58899e-05,0.989588,0.302044,0.018365,0.060801,0.018558
171,ghana,ookinete,PF3D7_1136900,1.57737e-05,0.99025,0.320423,0.018547,0.057882,0.018729
172,ghana,ookinete,PF3D7_0818600,1.5818e-05,0.989821,0.307635,0.018367,0.059705,0.018556
173,ghana,ookinete,PF3D7_0411400,1.58268e-05,0.990157,0.318428,0.018023,0.056601,0.018203
174,ghana,ookinete,PF3D7_0808200,1.57878e-05,0.990219,0.319663,0.018825,0.05889,0.019011
175,ghana,ookinete,PF3D7_1332200,1.58025e-05,0.989903,0.309844,0.018354,0.059236,0.018541
176,ghana,ookinete,PF3D7_1218100,1.58466e-05,0.989915,0.311095,0.018322,0.058895,0.018509
177,ghana,ookinete,PF3D7_1026500,1.58374e-05,0.989792,0.307118,0.018454,0.060086,0.018644
178,ghana,ookinete,PF3D7_0214600,1.59403e-05,0.989872,0.311576,0.018338,0.058856,0.018526
179,ghana,ookinete,PF3D7_1449000,1.58471e-05,0.989798,0.307483,0.018367,0.059734,0.018557
180,ghana,ookinete,PF3D7_0918700,1.5933e-05,0.989536,0.301338,0.018086,0.06002,0.018278
181,ghana,ookinete,PF3D7_0102700,1.59156e-05,0.989703,0.305953,0.018311,0.05985,0.018502
182,ghana,ookinete,PF3D7_1329700,1.58978e-05,0.990141,0.31934,0.018035,0.056476,0.018215
183,ghana,ookinete,PF3D7_1029700,1.57974e-05,0.990006,0.312985,0.01865,0.059587,0.018838
