,country,stage,excluded_gene,Q,alpha,omega,adaptive_divergence,neutral_divergence,selected_divergence
25,ghana,ring,PF3D7_0802000,8.46276e-05,0.902285,0.168807,0.011548,0.068409,0.012799
26,ghana,ring,PF3D7_1451200,8.43655e-05,0.896806,0.158381,0.011988,0.07569,0.013367
27,ghana,ring,PF3D7_0107500,8.45844e-05,0.89654,0.158337,0.011985,0.075696,0.013369
28,ghana,ring,PF3D7_1404900,8.43897e-05,0.897819,0.160179,0.012209,0.076222,0.013599
29,ghana,ring,PF3D7_0619200,8.43347e-05,0.897856,0.160137,0.012349,0.077116,0.013754
30,ghana,ring,PF3D7_1121700,8.4462e-05,0.896738,0.158446,0.012471,0.078705,0.013907
31,ghana,ring,PF3D7_0706500,8.40415e-05,0.894022,0.153152,0.011595,0.07571,0.01297
32,ghana,ring,PF3D7_1464600,8.44491e-05,0.896418,0.157876,0.012559,0.079551,0.01401
33,ghana,ring,PF3D7_1420700,8.43812e-05,0.892086,0.150685,0.011503,0.076338,0.012894
34,ghana,ring,PF3D7_0417300,8.43931e-05,0.896604,0.158088,0.011994,0.075872,0.013378
35,ghana,ring,PF3D7_0409100,8.44913e-05,0.89974,0.163793,0.012147,0.074161,0.013501
36,ghana,ring,PF3D7_1116700,8.45435e-05,0.900587,0.165446,0.012344,0.074611,0.013707
37,ghana,ring,PF3D7_0911900,8.45004e-05,0.89646,0.158044,0.011994,0.075889,0.013379
38,ghana,ring,PF3D7_1022500,8.45255e-05,0.89597,0.15726,0.012288,0.078136,0.013714
39,ghana,ring,PF3D7_1445600,8.43824e-05,0.89668,0.158198,0.012088,0.076411,0.013481
40,ghana,ring,PF3D7_1446900,8.45375e-05,0.896412,0.15803,0.011994,0.075894,0.013379
41,ghana,ring,PF3D7_1308500,8.44235e-05,0.894747,0.155033,0.01185,0.076437,0.013244
42,ghana,ring,PF3D7_0103900,8.44334e-05,0.897435,0.159592,0.011656,0.073035,0.012988
43,ghana,ring,PF3D7_1017800,8.43693e-05,0.896728,0.158255,0.011991,0.075769,0.013372
44,ghana,ring,PF3D7_1336400,8.44232e-05,0.896516,0.157995,0.011996,0.075928,0.013381
45,ghana,ring,PF3D7_1336600,8.44721e-05,0.896423,0.157927,0.012042,0.076253,0.013434
46,ghana,ring,PF3D7_0317100,8.44805e-05,0.895784,0.156863,0.011706,0.074626,0.013068
47,ghana,ring,PF3D7_1313100,8.42371e-05,0.879381,0.132666,0.01063,0.080124,0.012088
48,ghana,trophozoite,PF3D7_1359600,4.86394e-05,0.950809,0.203184,0.015967,0.078585,0.016793
49,ghana,trophozoite,PF3D7_0909600,4.8778e-05,0.952783,0.212722,0.016409,0.077137,0.017222
50,ghana,trophozoite,PF3D7_1235300,4.8617e-05,0.953777,0.216807,0.016169,0.074579,0.016953
51,ghana,trophozoite,PF3D7_1136000,4.84063e-05,0.95328,0.213461,0.016402,0.07684,0.017206
52,ghana,trophozoite,PF3D7_0305000,4.87555e-05,0.952795,0.212681,0.01641,0.077157,0.017223
53,ghana,trophozoite,PF3D7_0826100,4.92248e-05,0.957979,0.242532,0.018408,0.075901,0.019216
54,ghana,trophozoite,PF3D7_1456000,4.86225e-05,0.952968,0.212921,0.016408,0.077061,0.017218
55,ghana,trophozoite,PF3D7_1445000,4.87558e-05,0.952958,0.213457,0.01657,0.077626,0.017388
56,ghana,trophozoite,PF3D7_1417600,4.86006e-05,0.951165,0.204577,0.016378,0.080058,0.017219
57,ghana,trophozoite,PF3D7_0629700,4.8539e-05,0.952968,0.212554,0.015392,0.072417,0.016152
58,ghana,trophozoite,PF3D7_0104100,4.88751e-05,0.951724,0.208237,0.016003,0.07685,0.016815
59,ghana,trophozoite,PF3D7_1212800,4.87342e-05,0.952946,0.213306,0.016547,0.077576,0.017364
60,ghana,trophozoite,PF3D7_1021900,4.85304e-05,0.953154,0.213404,0.016331,0.076525,0.017133
61,ghana,trophozoite,PF3D7_1132000,4.87219e-05,0.952595,0.211595,0.016369,0.077362,0.017184
62,ghana,trophozoite,PF3D7_1238000,4.87379e-05,0.952853,0.212878,0.016468,0.077359,0.017283
63,ghana,trophozoite,PF3D7_0931600,4.87131e-05,0.952817,0.212601,0.016534,0.077772,0.017353
64,ghana,schizont,PF3D7_0303200,0.0001455005,0.814836,0.13838,0.012176,0.087987,0.014942
65,ghana,schizont,PF3D7_0217500,0.0001455254,0.817508,0.14089,0.012177,0.086426,0.014895
66,ghana,schizont,PF3D7_0508100,0.0001455208,0.81278,0.136534,0.011864,0.086898,0.014597
67,ghana,schizont,PF3D7_1327400,0.0001455424,0.81379,0.137466,0.012017,0.087421,0.014767
68,ghana,schizont,PF3D7_0404900,0.0001455033,0.810723,0.134693,0.011727,0.087066,0.014465
69,ghana,schizont,PF3D7_0317300,0.0001455664,0.813613,0.137328,0.011946,0.086986,0.014682
70,ghana,schizont,PF3D7_1209300,0.0001455419,0.810461,0.134498,0.011561,0.085957,0.014265
71,ghana,schizont,PF3D7_0627100,0.000145497,0.813587,0.137238,0.012026,0.087626,0.014781
72,ghana,schizont,PF3D7_0932200,0.0001454991,0.813735,0.137375,0.012015,0.087458,0.014765
73,ghana,schizont,PF3D7_0626400,0.0001455222,0.811671,0.135546,0.011888,0.087706,0.014647
74,ghana,schizont,PF3D7_1107300,0.0001455837,0.820912,0.144224,0.011714,0.081218,0.014269
75,ghana,schizont,PF3D7_0304200,0.0001455297,0.814177,0.137805,0.012147,0.088143,0.014919
76,ghana,schizont,PF3D7_1435300,0.0001454899,0.816903,0.140287,0.012551,0.089465,0.015364
77,ghana,schizont,PF3D7_1442400,0.0001455331,0.805706,0.130429,0.011585,0.08882,0.014378
