variable,value
schizont,PF3D7_1209300
schizont,PF3D7_0627100
schizont,PF3D7_0932200
schizont,PF3D7_0626400
schizont,PF3D7_1107300
schizont,PF3D7_0304200
schizont,PF3D7_1435300
schizont,PF3D7_1442400
schizont,PF3D7_1107800
schizont,PF3D7_1349500
schizont,PF3D7_1248700
schizont,PF3D7_0318500
schizont,PF3D7_0814400
schizont,PF3D7_1361800
schizont,PF3D7_1021800
schizont,PF3D7_0611800
schizont,PF3D7_1206300
schizont,PF3D7_0717500
schizont,PF3D7_0410700
schizont,PF3D7_1232500
schizont,PF3D7_1247500
schizont,PF3D7_0924000
schizont,PF3D7_0417400
schizont,PF3D7_1434400
schizont,PF3D7_0511500
schizont,PF3D7_1359900
schizont,PF3D7_0404800
schizont,PF3D7_1030300
schizont,PF3D7_0525800
schizont,PF3D7_1251200
trophozoite,PF3D7_1359600
trophozoite,PF3D7_0909600
trophozoite,PF3D7_1235300
trophozoite,PF3D7_1136000
trophozoite,PF3D7_0305000
trophozoite,PF3D7_0826100
trophozoite,PF3D7_1456000
trophozoite,PF3D7_1445000
trophozoite,PF3D7_1417600
trophozoite,PF3D7_0629700
trophozoite,PF3D7_0206900
trophozoite,PF3D7_0104100
trophozoite,PF3D7_1212800
trophozoite,PF3D7_1021900
trophozoite,PF3D7_1132000
trophozoite,PF3D7_1238000
trophozoite,PF3D7_0931600
ring,PF3D7_0902800
ring,PF3D7_0708400
ring,PF3D7_0802000
ring,PF3D7_1451200
ring,PF3D7_1466400
ring,PF3D7_1368700
ring,PF3D7_0107500
ring,PF3D7_0505700
ring,PF3D7_1404900
ring,PF3D7_0619200
ring,PF3D7_1121700
ring,PF3D7_0706500
ring,PF3D7_1464600
ring,PF3D7_1420700
ring,PF3D7_0417300
ring,PF3D7_0409100
ring,PF3D7_1116700
ring,PF3D7_0911900
ring,PF3D7_1022500
ring,PF3D7_1445600
ring,PF3D7_1446900
ring,PF3D7_1308500
ring,PF3D7_0615600
ring,PF3D7_0103900
ring,PF3D7_1017800
ring,PF3D7_1336400
ring,PF3D7_1336600
ring,PF3D7_0317100
ring,PF3D7_1313100
