,pi_ns
Pf3D7_02_v3:135523-137139,8.855133031713593e-05
Pf3D7_02_v3:137557-138389,5.539071169373489e-05
Pf3D7_02_v3:138927-141192,0.0003863365311070261
Pf3D7_02_v3:141625-147564,0.00013227427912771642
Pf3D7_02_v3:149524-156981,0.00020412300732305187
Pf3D7_02_v3:158137-159660,5.2108516334303136e-05
Pf3D7_02_v3:160514-161242,3.246529055117127e-05
Pf3D7_02_v3:166144-168051,6.606305214251449e-05
Pf3D7_02_v3:168682-170136,9.820532740234846e-05
Pf3D7_02_v3:171563-174912,1.3665816805588416e-05
Pf3D7_02_v3:176567-178300,0.0002939458970734832
Pf3D7_02_v3:178955-181526,0.0001642140335589689
Pf3D7_02_v3:182228-189115,9.142904551916521e-05
Pf3D7_02_v3:192818-194199,3.0498599402856534e-05
Pf3D7_02_v3:194826-196916,0.00014051549172825446
Pf3D7_02_v3:198353-199570,0.0009799811323725838
Pf3D7_02_v3:200482-204048,0.00033747704222125675
Pf3D7_02_v3:205889-207403,0.00019003840940775998
Pf3D7_02_v3:209583-210833,0.00011343540536501407
Pf3D7_02_v3:211348-212627,1.721013249204434e-05
Pf3D7_02_v3:212982-214508,0.00039537653436185095
Pf3D7_02_v3:214838-217348,0.0006126584267480871
Pf3D7_02_v3:217882-218907,6.797000511245437e-05
Pf3D7_02_v3:219690-222256,0.0003713702402677583
Pf3D7_02_v3:223478-224851,1.7650961282469016e-05
Pf3D7_02_v3:228025-229932,2.4492026394214778e-05
Pf3D7_02_v3:231141-232529,7.795351894772883e-05
Pf3D7_02_v3:232729-233476,0.0002471202623071633
Pf3D7_02_v3:235237-238816,3.5093367768998073e-05
Pf3D7_02_v3:239246-243796,0.00028944994705203944
Pf3D7_02_v3:245358-246699,0.00037527640902133255
Pf3D7_02_v3:249030-250727,0.00037738078798153535
Pf3D7_02_v3:263037-267347,6.737583852946953e-05
Pf3D7_02_v3:271594-273009,0.00019023134871820325
Pf3D7_02_v3:273689-274507,0.0005844427933160257
Pf3D7_02_v3:275540-276577,0.0002815103435575008
Pf3D7_02_v3:277494-278456,0.003077394203014787
Pf3D7_02_v3:281907-287345,0.0002598551796220673
Pf3D7_02_v3:288183-288665,5.271065659146198e-05
Pf3D7_02_v3:290168-292703,0.0023275899152630465
Pf3D7_02_v3:294273-297616,0.0010680424471188217
Pf3D7_02_v3:298897-302564,0.0001810953910337324
Pf3D7_02_v3:303593-307027,0.00032377278704174526
Pf3D7_02_v3:308847-312155,0.0018294709621333339
Pf3D7_02_v3:313449-316741,0.00031660220285712745
Pf3D7_02_v3:317596-321310,0.0011523884642659526
Pf3D7_02_v3:322338-325723,0.00021730529021708045
Pf3D7_02_v3:327932-335203,0.00011859657935078738
Pf3D7_02_v3:337558-342966,0.00027550917824438026
Pf3D7_02_v3:343308-349340,0.00019919041331884518
Pf3D7_02_v3:352836-353628,0.0006502776467427123
Pf3D7_02_v3:354621-356117,3.8104015484591385e-05
Pf3D7_02_v3:360828-368354,0.0003093958311552714
Pf3D7_02_v3:370438-379845,0.0008003852095042917
Pf3D7_02_v3:381130-383445,0.00016709947140334153
Pf3D7_02_v3:384865-386580,2.7134809495021522e-05
Pf3D7_02_v3:387273-388151,0.00015240136882353476
Pf3D7_02_v3:388424-390611,0.0003658747416274097
Pf3D7_02_v3:391275-392789,0.00014574581422743265
Pf3D7_02_v3:394237-398745,5.181087366544461e-05
Pf3D7_02_v3:400153-401859,8.449757549764119e-05
Pf3D7_02_v3:404281-406355,5.0676759672271724e-05
Pf3D7_02_v3:413278-421137,0.00023264972562933207
Pf3D7_02_v3:425689-426497,6.361607139420292e-05
Pf3D7_02_v3:427490-431530,0.00012145744455259919
Pf3D7_02_v3:432041-434086,1.6255256708912986e-05
Pf3D7_02_v3:437755-439002,0.0008575447167992711
Pf3D7_02_v3:442080-442934,4.956130174513955e-05
Pf3D7_02_v3:451751-455116,0.00012599697873694025
Pf3D7_02_v3:457130-458585,8.543305552714448e-05
Pf3D7_02_v3:463163-466900,5.934558772267676e-05
